Id,Airline,Class,Cabin,Detail_En,Detail_Vi,Hạng ghế,Operated Airlines,From date,To date,Hành lý xách tay,Có hành lý xách tay?,Số kiện xách tay,Số kg/kiện xách tay,Hành lý ký gửi,Có hành lý ký gửi?,Số kiện ký gửi,Số kg/kiện ký gửi,Ghi chú HLKG,Bữa ăn,Có bữa ăn?,Áp dụng với chuyến bay từ,Hình thức hoàn (nếu có),Hạn sử dụng,Hoàn vé - Timeframe 1 - From,Hoàn vé - Timeframe 1 - From,Hoàn vé - Timeframe 1 - To,Lý do hoàn 1,Hỗ trợ hoàn 1?,Phí hoàn 1,Hoàn vé - Timeframe 2 - From,Hoàn vé - Timeframe 2 - To,Lý do hoàn 2,Hỗ trợ hoàn 2?,Phí hoàn 2,Thay đổi vé,Đổi vé - Timeframe 1 - From,Đổi vé - Timeframe 1 - To,Hỗ trợ đổi 1?,Phí đổi 1,Đổi vé - Timeframe 2 - From,Đổi vé - Timeframe 2 - To,Hỗ trợ đổi 2?,Phí đổi 2,Thay đổi tên,Hỗ trợ đổi tên,Đổi tên - From,Đổi tên - To,Phí đổi tên,Đổi chuyến tại sân bay,Hỗ trợ đổi chuyến tại sân bay?,Phí đổi chuyến tại sân bay,Khách bỏ chuyến,Hỗ trợ khách bỏ chuyến?,Phí bỏ chuyến,Quầy thủ tục ưu tiên,Phòng chờ thương gia,Hệ số cộng điểm,Chọn chỗ ngồi
51,VJ,Promo,Economy,Promotion,Khuyến mại,Phổ thông,VJ,,,NA,,,,NA,,,,,NA,,,,,NA,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,
52,VJ,G_Eco,Economy,Economy,Tiết Kiệm,Phổ thông,VJ,0,0,7kg,Yes,1,7,0kg,No,,,Null,No,No,,Định danh,180,,0,24,Lý do cá nhân,No,null,24,0,Lý do cá nhân,Yes,385000,"- Phí 350,000đ + Chênh lệch vé
- Báo tối thiểu 3 tiếng trước giờ bay",0,3,No,null,3,0,Yes,350000,No,No,,,,Null,No,,"No","No",,No,No,No,Thu phí
,VJ,E1_ECO,Economy,Economy,Tiết Kiệm,Phổ thông,VJ,0,0,7kg,Yes,1,7,0kg,No,,,Null,No,No,,Định danh,180,"- Hoàn định danh
- Phí 385,000đ
- Báo tối thiểu 24 tiếng trước giờ bay
- Bảo lưu tiền vé trong 180 ngày",0,24,Lý do cá nhân,No,null,24,0,Lý do cá nhân,Yes,385000,"- Phí 350,000đ + Chênh lệch vé
- Báo tối thiểu 3 tiếng trước giờ bay",0,3,No,null,3,0,Yes,350000,No,No,,,,Null,No,,"No","No",,No,No,No,Thu phí
,VJ,A1_ECO,Economy,Economy,Tiết Kiệm,Phổ thông,VJ,0,0,7kg,Yes,1,7,0kg,No,,,Null,No,No,,Định danh,180,"- Hoàn định danh
- Phí 385,000đ
- Báo tối thiểu 24 tiếng trước giờ bay
- Bảo lưu tiền vé trong 180 ngày",0,24,Lý do cá nhân,No,null,24,0,Lý do cá nhân,Yes,385000,"- Phí 350,000đ + Chênh lệch vé
- Báo tối thiểu 3 tiếng trước giờ bay",0,3,No,null,3,0,Yes,350000,No,No,,,,Null,No,,"No","No",,No,No,No,Thu phí
,VJ,B1_ECO,Economy,Economy,Tiết Kiệm,Phổ thông,VJ,0,0,7kg,Yes,1,7,0kg,No,,,Null,No,No,,Định danh,180,"- Hoàn định danh
- Phí 385,000đ
- Báo tối thiểu 24 tiếng trước giờ bay
- Bảo lưu tiền vé trong 180 ngày",0,24,Lý do cá nhân,No,null,24,0,Lý do cá nhân,Yes,385000,"- Phí 350,000đ + Chênh lệch vé
- Báo tối thiểu 3 tiếng trước giờ bay",0,3,No,null,3,0,Yes,350000,No,No,,,,Null,No,,"No","No",,No,No,No,Thu phí
,VJ,T1_ECO,Economy,Economy,Tiết Kiệm,Phổ thông,VJ,0,0,7kg,Yes,1,7,0kg,No,,,Null,No,No,,Định danh,180,"- Hoàn định danh
- Phí 385,000đ
- Báo tối thiểu 24 tiếng trước giờ bay
- Bảo lưu tiền vé trong 180 ngày",0,24,Lý do cá nhân,No,null,24,0,Lý do cá nhân,Yes,385000,"- Phí 350,000đ + Chênh lệch vé
- Báo tối thiểu 3 tiếng trước giờ bay",0,3,No,null,3,0,Yes,350000,No,No,,,,Null,No,,"No","No",,No,No,No,Thu phí
,VJ,Z1_ECO,Economy,Economy,Tiết Kiệm,Phổ thông,VJ,0,0,7kg,Yes,1,7,0kg,No,,,Null,No,No,,Định danh,180,"- Hoàn định danh
- Phí 385,000đ
- Báo tối thiểu 24 tiếng trước giờ bay
- Bảo lưu tiền vé trong 180 ngày",0,24,Lý do cá nhân,No,null,24,0,Lý do cá nhân,Yes,385000,"- Phí 350,000đ + Chênh lệch vé
- Báo tối thiểu 3 tiếng trước giờ bay",0,3,No,null,3,0,Yes,350000,No,No,,,,Null,No,,"No","No",,No,No,No,Thu phí
,VJ,W1_ECO,Economy,Economy,Tiết Kiệm,Phổ thông,VJ,0,0,7kg,Yes,1,7,0kg,No,,,Null,No,No,,Định danh,180,"- Hoàn định danh
- Phí 385,000đ
- Báo tối thiểu 24 tiếng trước giờ bay
- Bảo lưu tiền vé trong 180 ngày",0,24,Lý do cá nhân,No,null,24,0,Lý do cá nhân,Yes,385000,"- Phí 350,000đ + Chênh lệch vé
- Báo tối thiểu 3 tiếng trước giờ bay",0,3,No,null,3,0,Yes,350000,No,No,,,,Null,No,,"No","No",,No,No,No,Thu phí
,VJ,J1_ECO,Economy,Economy,Tiết Kiệm,Phổ thông,VJ,0,0,7kg,Yes,1,7,0kg,No,,,Null,No,No,,Định danh,180,"- Hoàn định danh
- Phí 385,000đ
- Báo tối thiểu 24 tiếng trước giờ bay
- Bảo lưu tiền vé trong 180 ngày",0,24,Lý do cá nhân,No,null,24,0,Lý do cá nhân,Yes,385000,"- Phí 350,000đ + Chênh lệch vé
- Báo tối thiểu 3 tiếng trước giờ bay",0,3,No,null,3,0,Yes,350000,No,No,,,,Null,No,,"No","No",,No,No,No,Thu phí
,VJ,U1_ECO,Economy,Economy,Tiết Kiệm,Phổ thông,VJ,0,0,7kg,Yes,1,7,0kg,No,,,Null,No,No,,Định danh,180,"- Hoàn định danh
- Phí 385,000đ
- Báo tối thiểu 24 tiếng trước giờ bay
- Bảo lưu tiền vé trong 180 ngày",0,24,Lý do cá nhân,No,null,24,0,Lý do cá nhân,Yes,385000,"- Phí 350,000đ + Chênh lệch vé
- Báo tối thiểu 3 tiếng trước giờ bay",0,3,No,null,3,0,Yes,350000,No,No,,,,Null,No,,"No","No",,No,No,No,Thu phí
